searchQuery,labels(json),stage
치근파절 예방,"[{""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}, {""matched_expression"": ""예방"", ""label"": ""진료목표:예방""}]",2단계:정보탐색
치근파절 염증,"[{""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
단순발치 치근파절,"[{""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
금니 검은 충치,"[{""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
크라운 벗기니 썩어,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""썩어"", ""label"": ""증상:충치""}]",2단계:정보탐색
임시충전재 하방우식,"[{""matched_expression"": ""충전재"", ""label"": ""재료:충전재""}, {""matched_expression"": ""하방"", ""label"": ""방향:아래""}, {""matched_expression"": ""임시"", ""label"": ""진료:임시치아""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
금니주변 검은 잇몸,"[{""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""주변"", ""label"": ""위치:부위""}, {""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
크라운 제거 썩은,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""제거"", ""label"": ""진료:발치""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
크라운금니 경계 우식,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""경계"", ""label"": ""위치:경계""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
크라운 금니 잇몸 마진,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""마진"", ""label"": ""위치:경계""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
신경치료 크라운 들뜸,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""들뜸"", ""label"": ""증상:탈락""}]",2단계:정보탐색
크라운 경계 우식,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""경계"", ""label"": ""위치:경계""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
크라운 우식,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
크라운 밑 우식,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
금니크라운 섞고 잇몸 부었다,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
크라운 잇몸 마진,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""마진"", ""label"": ""위치:경계""}]",2단계:정보탐색
크라운 이차우식 증상,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""증상"", ""label"": ""증상:증상""}, {""matched_expression"": ""이차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",3단계:지역탐색
골드크라운 치아우식,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
금니 잇몸 검은,"[{""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
금니 검은때,"[{""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
금니 이차 우식,"[{""matched_expression"": ""이차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",3단계:지역탐색
골드 크라운 이차우식,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""이차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",3단계:지역탐색
크라운치료한 곳 밑이 검은 이유,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""이유"", ""label"": ""증상:원인""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",2단계:정보탐색
금니 크라운 밑에 검은,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""밑에"", ""label"": ""방향:아래""}, {""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
금니 마진 부위 검은,"[{""matched_expression"": ""마진"", ""label"": ""위치:경계""}, {""matched_expression"": ""부위"", ""label"": ""위치:부위""}, {""matched_expression"": ""검은"", ""label"": ""증상:변색""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
금니 밑에 우식,"[{""matched_expression"": ""밑에"", ""label"": ""방향:아래""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
크라운 margin 하방 불량 치근단 병소,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치근단"", ""label"": ""치아부위:치근""}, {""matched_expression"": ""gi"", ""label"": ""구강:치아""}, {""matched_expression"": ""하방"", ""label"": ""방향:아래""}, {""matched_expression"": ""병소"", ""label"": ""증상:병소""}]",2단계:정보탐색
골드크라운 마진,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""마진"", ""label"": ""위치:경계""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
하방 이차우식 뜻,"[{""matched_expression"": ""하방"", ""label"": ""방향:아래""}, {""matched_expression"": ""이차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",3단계:지역탐색
금니 이차우식,"[{""matched_expression"": ""이차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",3단계:지역탐색
보존치과 현미경 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""보존"", ""label"": ""진료과:보존과""}]",2단계:정보탐색
동탄 꿈의 치과 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 보존과 전문의 재신경,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""전문의"", ""label"": ""진료과:전문의""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",3단계:지역탐색
내이튼치과재신경치료실패후발치,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""실패"", ""label"": ""상태:실패""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",4단계:병원인지
평택 큰치과 미세현미경 ct,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""ct"", ""label"": ""진단장비:CT""}]",2단계:정보탐색
재신경치료 현미경 실패,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""실패"", ""label"": ""상태:실패""}]",2단계:정보탐색
"수원시 치과 재신경치료 미세현미경, CT보유치과","[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""유치"", ""label"": ""대상:소아""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""수원"", ""label"": ""지역:수원""}, {""matched_expression"": ""ct"", ""label"": ""진단장비:CT""}]",3단계:지역탐색
동탄 치과 현미경,"[{""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄연대 미세현미경 치과,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄수원미세현미경치과,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""수원"", ""label"": ""지역:수원""}]",3단계:지역탐색
재신경치료 케이스,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""케이스"", ""label"": ""치료:케이스""}]",2단계:정보탐색
동탄스타치과 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 치과보존과 미세현미경 세브란스,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
내이튼치과 치근단 절제술,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""절제술"", ""label"": ""진료:술식""}, {""matched_expression"": ""치근단"", ""label"": ""치아부위:치근""}]",4단계:병원인지
치근단절제술 현미경 동탄 수원,"[{""matched_expression"": ""치근단절제술"", ""label"": ""진료:치근단절제술""}, {""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""수원"", ""label"": ""지역:수원""}]",3단계:지역탐색
동탄 미세현미경 보유 치과,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 현미경치과,"[{""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
대구재신경치료 신경관4 개,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""대구"", ""label"": ""지역:대구""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",3단계:지역탐색
동탄 미세현미경 치근단절제술,"[{""matched_expression"": ""치근단절제술"", ""label"": ""진료:치근단절제술""}, {""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 연세대 보존과 미세현미경 치과,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
내이튼치과 재신경치려,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""치려"", ""label"": ""의도:동작의사""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",4단계:병원인지
동탄역 재신경 치과,"[{""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",3단계:지역탐색
동탄탑치과 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
미세현미경 보존과 재신경치료,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}]",2단계:정보탐색
엔도 현미경,"[{""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""엔도"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
내이튼치과 재신경,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",4단계:병원인지
동탄 치과 근관치료 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""근관치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 이루다치과 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""이루다"", ""label"": ""진료목표:달성/이루다""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
치과 엔도현미경,"[{""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""엔도"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
동탄역 신경과,"[{""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}]",3단계:지역탐색
부산 재신경치료 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""부산"", ""label"": ""지역:부산""}]",3단계:지역탐색
동탄역 네이튼치과,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}]",4단계:병원인지
재신경치료 실패,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""실패"", ""label"": ""상태:실패""}]",2단계:정보탐색
치과 현미경 동탄,"[{""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 미세 현미경,"[{""matched_expression"": ""현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""미세"", ""label"": ""진단장비:미세현미경""}]",3단계:지역탐색
수원 보존과 미세현미경치과 재신경치료,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""수원"", ""label"": ""지역:수원""}]",3단계:지역탐색
동탄 앞니치료,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
Injection Moulding,"[{""matched_expression"": ""moulding"", ""label"": ""제작:몰딩/본뜨기""}, {""matched_expression"": ""inje"", ""label"": ""진료:마취""}, {""matched_expression"": ""ion"", ""label"": ""기타:ion""}, {""matched_expression"": ""ct"", ""label"": ""진단장비:CT""}]",2단계:정보탐색
앞니치료 동탄,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
동탄2 실활치미백,"[{""matched_expression"": ""실활치미백"", ""label"": ""진료:치아미백""}, {""matched_expression"": ""동탄2"", ""label"": ""지역:동탄2""}]",3단계:지역탐색
동탄 벌어진 앞니,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
치과injection,"[{""matched_expression"": ""inje"", ""label"": ""진료:마취""}, {""matched_expression"": ""ion"", ""label"": ""기타:ion""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""ct"", ""label"": ""진단장비:CT""}]",2단계:정보탐색
이 사이 벌어진 이 변색,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}, {""matched_expression"": ""사이"", ""label"": ""증상:치아간격/벌어짐""}]",2단계:정보탐색
동탄2 앞니 벌어진 치과 추천,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""동탄2"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""추천"", ""label"": ""의도:추천요청""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",3단계:지역탐색
치과 injecion,"[{""matched_expression"": ""inje"", ""label"": ""진료:마취""}, {""matched_expression"": ""ion"", ""label"": ""기타:ion""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
앞니 injection,"[{""matched_expression"": ""inje"", ""label"": ""진료:마취""}, {""matched_expression"": ""ion"", ""label"": ""기타:ion""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""ct"", ""label"": ""진단장비:CT""}]",2단계:정보탐색
동탄2 실활치 미백,"[{""matched_expression"": ""동탄2"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""실활치"", ""label"": ""진료:치아미백""}, {""matched_expression"": ""미백"", ""label"": ""진료:치아미백""}]",3단계:지역탐색
벌어진 변색된 앞니,"[{""matched_expression"": ""벌어진"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
인접면 충치 소구치,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
소구치 교합면 레진,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
이가 썩은것,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
이가 썩은 모급,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
교합면 초기 충치 프랩,"[{""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""초기"", ""label"": ""단계:초기""}, {""matched_expression"": ""프랩"", ""label"": ""진료과정:프랩""}]",2단계:정보탐색
소구치교합면,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}]",2단계:정보탐색
이가 썩은 경우,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}, {""matched_expression"": ""경우"", ""label"": ""치료:케이스""}]",2단계:정보탐색
14번 치아우식,"[{""matched_expression"": ""14번"", ""label"": ""치아:14번""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
이가 썪은 건지,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썪은"", ""label"": ""진료:충치""}]",2단계:정보탐색
14번 충치,"[{""matched_expression"": ""14번"", ""label"": ""치아:14번""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
15번 소구치,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""15번"", ""label"": ""치아:15번""}]",2단계:정보탐색
썩은 이 초기,"[{""matched_expression"": ""썩은"", ""label"": ""진료:충치""}, {""matched_expression"": ""초기"", ""label"": ""단계:초기""}]",2단계:정보탐색
14번 치아 충치,"[{""matched_expression"": ""14번"", ""label"": ""치아:14번""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
14교합면,"[{""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}]",2단계:정보탐색
소구치의 교합면,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}]",2단계:정보탐색
소구치 프랩,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""프랩"", ""label"": ""진료과정:프랩""}]",2단계:정보탐색
이가 썩은거 같아요,"[{""matched_expression"": ""같아요"", ""label"": ""비교/유사성:같아요""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
교합면작은충치,"[{""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""작은"", ""label"": ""형태:작은""}]",2단계:정보탐색
소구치초기충치,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""초기"", ""label"": ""단계:초기""}]",2단계:정보탐색
아이 썩은이 치료,"[{""matched_expression"": ""아이"", ""label"": ""대상:소아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",2단계:정보탐색
인접면 교합면,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}]",2단계:정보탐색
교합면 상아질 침투,"[{""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}, {""matched_expression"": ""침투"", ""label"": ""증상:침범""}]",2단계:정보탐색
14번 치아 옆면 충치,"[{""matched_expression"": ""14번"", ""label"": ""치아:14번""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
이가썩은거같아요,"[{""matched_expression"": ""같아요"", ""label"": ""비교/유사성:같아요""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
동탄 썩은거 떼운거,"[{""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}, {""matched_expression"": ""떼운"", ""label"": ""진료:충전""}]",3단계:지역탐색
이 썩은거같아요,"[{""matched_expression"": ""같아요"", ""label"": ""비교/유사성:같아요""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
이가 썩은모습,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
14 15번 인접면,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""15번"", ""label"": ""치아:15번""}]",2단계:정보탐색
소구치충티,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""충티"", ""label"": ""증상:충치""}]",2단계:정보탐색
교합면 작은 충치,"[{""matched_expression"": ""교합면"", ""label"": ""치아해부학:교합면""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""작은"", ""label"": ""형태:작은""}]",2단계:정보탐색
이가 안아팟는데 이가 썩은거 같아요,"[{""matched_expression"": ""같아요"", ""label"": ""비교/유사성:같아요""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""썩은"", ""label"": ""진료:충치""}]",2단계:정보탐색
소구치 인접면 레진,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
소구치 인접면 충치치료,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",2단계:정보탐색
